State,Year,Indicator,Value
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59
AK,2016,Methadone (T40.3),14
AK,2016,"Opioids (T40.0-T40.4,T40.6)",96
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68
AK,2016,Methadone (T40.3),15
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76
AK,2016,Psychostimulants with abuse potential (T43.6),31
AK,2016,"Opioids (T40.0-T40.4,T40.6)",91
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",66
AK,2016,Methadone (T40.3),13
AK,2016,"Opioids (T40.0-T40.4,T40.6)",90
AK,2016,Psychostimulants with abuse potential (T43.6),27
AK,2016,Number of Drug Overdose Deaths,143
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",78
AK,2016,Psychostimulants with abuse potential (T43.6),39
AK,2016,"Opioids (T40.0-T40.4,T40.6)",107
AK,2016,Methadone (T40.3),21
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70
AK,2016,Psychostimulants with abuse potential (T43.6),37
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76
AK,2016,Methadone (T40.3),20
AK,2016,"Opioids (T40.0-T40.4,T40.6)",102
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",69
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64
AK,2016,Methadone (T40.3),16
AK,2016,Psychostimulants with abuse potential (T43.6),31
AK,2016,"Opioids (T40.0-T40.4,T40.6)",90
AK,2016,Psychostimulants with abuse potential (T43.6),39
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77
AK,2016,Methadone (T40.3),17
AK,2016,"Opioids (T40.0-T40.4,T40.6)",103
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70
AK,2016,Psychostimulants with abuse potential (T43.6),45
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64
AK,2016,Methadone (T40.3),15
AK,2016,"Opioids (T40.0-T40.4,T40.6)",99
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",59
AK,2016,Psychostimulants with abuse potential (T43.6),44
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64
AK,2016,"Opioids (T40.0-T40.4,T40.6)",94
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",60
AK,2016,Methadone (T40.3),15
AK,2016,Psychostimulants with abuse potential (T43.6),42
AK,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68
AK,2016,Methadone (T40.3),17
AK,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",62
AK,2016,"Opioids (T40.0-T40.4,T40.6)",96
AK,2017,Cocaine,22
AK,2017,Psychostimulants with abuse potential (T43.6),52
AK,2017,"Opioids (T40.0-T40.4,T40.6)",78
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",44
AK,2017,Number of Deaths,"4,374"
AK,2017,Other natural & semi-synthetic opioids,48
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35
AK,2017,"Synthetic opioids, excl. methadone and rehabilitory compounds",37
AK,2018,Heroin ,37
AK,2017,"Opioids (T40.0-T40.4,T40.6)",99
AK,2017,Psychostimulants with abuse potential (T43.6),64
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
AK,2017,Psychostimulants with abuse potential (T43.6),64
AK,2017,"Opioids (T40.0-T40.4,T40.6)",100
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75
AK,2017,Psychostimulants with abuse potential (T43.6),54
AK,2017,"Opioids (T40.0-T40.4,T40.6)",90
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50
AK,2017,Psychostimulants with abuse potential (T43.6),55
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54
AK,2017,Methadone (T40.3),11
AK,2017,"Opioids (T40.0-T40.4,T40.6)",93
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63
AK,2017,"Opioids (T40.0-T40.4,T40.6)",91
AK,2017,Psychostimulants with abuse potential (T43.6),59
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40
AK,2017,Psychostimulants with abuse potential (T43.6),54
AK,2017,"Opioids (T40.0-T40.4,T40.6)",85
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49
AK,2017,Psychostimulants with abuse potential (T43.6),55
AK,2017,"Opioids (T40.0-T40.4,T40.6)",87
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",39
AK,2017,Psychostimulants with abuse potential (T43.6),52
AK,2017,"Opioids (T40.0-T40.4,T40.6)",81
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53
AK,2017,Methadone (T40.3),10
AK,2017,Psychostimulants with abuse potential (T43.6),67
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",70
AK,2017,"Opioids (T40.0-T40.4,T40.6)",97
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72
AK,2017,Psychostimulants with abuse potential (T43.6),70
AK,2017,"Opioids (T40.0-T40.4,T40.6)",103
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",49
AK,2017,Number of Drug Overdose Deaths,148
AK,2017,"Opioids (T40.0-T40.4,T40.6)",106
AK,2017,Psychostimulants with abuse potential (T43.6),68
AK,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",52
AK,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",74
AK,2018,Number of Deaths,"4,383"
AK,2018,Methadone (T40.3),11
AK,2018,Other natural & semi-synthetic opioids,48
AK,2018,Psychostimulants with abuse potential (T43.6),61
AK,2018,Number of Drug Overdose Deaths,142
AK,2018,"Synthetic opioids, excl. methadone and rehabilitory compounds",38
AK,2018,"Opioids (T40.0-T40.4,T40.6)",102
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55
AK,2019,Heroin ,49
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80
AK,2018,Cocaine,16
AK,2018,"Opioids (T40.0-T40.4,T40.6)",73
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42
AK,2018,Psychostimulants with abuse potential (T43.6),47
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",46
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",37
AK,2018,Psychostimulants with abuse potential (T43.6),49
AK,2018,"Opioids (T40.0-T40.4,T40.6)",65
AK,2018,Psychostimulants with abuse potential (T43.6),56
AK,2018,Methadone (T40.3),10
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80
AK,2018,"Opioids (T40.0-T40.4,T40.6)",102
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54
AK,2018,Psychostimulants with abuse potential (T43.6),59
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77
AK,2018,"Opioids (T40.0-T40.4,T40.6)",100
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",51
AK,2018,Psychostimulants with abuse potential (T43.6),50
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59
AK,2018,"Opioids (T40.0-T40.4,T40.6)",76
AK,2018,Psychostimulants with abuse potential (T43.6),55
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
AK,2018,"Opioids (T40.0-T40.4,T40.6)",85
AK,2018,Methadone (T40.3),10
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65
AK,2018,Methadone (T40.3),10
AK,2018,Psychostimulants with abuse potential (T43.6),56
AK,2018,"Opioids (T40.0-T40.4,T40.6)",101
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",79
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53
AK,2018,Psychostimulants with abuse potential (T43.6),55
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",67
AK,2018,"Opioids (T40.0-T40.4,T40.6)",88
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50
AK,2018,Psychostimulants with abuse potential (T43.6),48
AK,2018,"Opioids (T40.0-T40.4,T40.6)",68
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48
AK,2018,Psychostimulants with abuse potential (T43.6),42
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36
AK,2018,"Opioids (T40.0-T40.4,T40.6)",65
AK,2018,Psychostimulants with abuse potential (T43.6),44
AK,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48
AK,2018,"Opioids (T40.0-T40.4,T40.6)",65
AK,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36
AK,2019,"Opioids (T40.0-T40.4,T40.6)",78
AK,2019,Number of Deaths,"4,528"
AK,2020,Heroin ,43
AK,2019,Psychostimulants with abuse potential (T43.6),58
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45
AK,2019,"Synthetic opioids, excl. methadone and rehabilitory compounds",27
AK,2019,Other natural & semi-synthetic opioids,45
AK,2019,Cocaine,13
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55
AK,2019,Psychostimulants with abuse potential (T43.6),65
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42
AK,2019,"Opioids (T40.0-T40.4,T40.6)",78
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50
AK,2019,Psychostimulants with abuse potential (T43.6),64
AK,2019,"Opioids (T40.0-T40.4,T40.6)",83
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",60
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46
AK,2019,Psychostimulants with abuse potential (T43.6),58
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",51
AK,2019,"Opioids (T40.0-T40.4,T40.6)",71
AK,2019,Psychostimulants with abuse potential (T43.6),51
AK,2019,Methadone (T40.3),10
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40
AK,2019,"Opioids (T40.0-T40.4,T40.6)",65
AK,2019,"Opioids (T40.0-T40.4,T40.6)",83
AK,2019,Psychostimulants with abuse potential (T43.6),66
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53
AK,2019,"Opioids (T40.0-T40.4,T40.6)",81
AK,2019,Psychostimulants with abuse potential (T43.6),65
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53
AK,2019,Psychostimulants with abuse potential (T43.6),62
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57
AK,2019,"Opioids (T40.0-T40.4,T40.6)",79
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
AK,2019,Psychostimulants with abuse potential (T43.6),65
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55
AK,2019,"Opioids (T40.0-T40.4,T40.6)",80
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45
AK,2019,Psychostimulants with abuse potential (T43.6),65
AK,2019,Methadone (T40.3),10
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",62
AK,2019,"Opioids (T40.0-T40.4,T40.6)",88
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
AK,2019,Psychostimulants with abuse potential (T43.6),69
AK,2019,Number of Drug Overdose Deaths,146
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48
AK,2019,"Opioids (T40.0-T40.4,T40.6)",92
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63
AK,2019,Methadone (T40.3),10
AK,2019,Psychostimulants with abuse potential (T43.6),64
AK,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43
AK,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",55
AK,2019,"Opioids (T40.0-T40.4,T40.6)",84
AK,2020,Psychostimulants with abuse potential (T43.6),56
AK,2020,"Synthetic opioids, excl. methadone and rehabilitory compounds",61
AK,2020,Number of Deaths,"5,008"
AK,2020,"Opioids (T40.0-T40.4,T40.6)",74
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57
AK,2021,Heroin ,71
AK,2020,Other natural & semi-synthetic opioids,40
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36
AK,2020,Cocaine,21
AK,2020,Psychostimulants with abuse potential (T43.6),69
AK,2020,Methadone (T40.3),10
AK,2020,"Opioids (T40.0-T40.4,T40.6)",98
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",83
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46
AK,2020,"Opioids (T40.0-T40.4,T40.6)",102
AK,2020,Psychostimulants with abuse potential (T43.6),67
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2020,Number of Drug Overdose Deaths,146
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",88
AK,2020,Psychostimulants with abuse potential (T43.6),60
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53
AK,2020,"Opioids (T40.0-T40.4,T40.6)",73
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56
AK,2020,Psychostimulants with abuse potential (T43.6),65
AK,2020,"Opioids (T40.0-T40.4,T40.6)",80
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2020,Psychostimulants with abuse potential (T43.6),69
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76
AK,2020,"Opioids (T40.0-T40.4,T40.6)",93
AK,2020,"Opioids (T40.0-T40.4,T40.6)",91
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72
AK,2020,Psychostimulants with abuse potential (T43.6),66
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2020,Psychostimulants with abuse potential (T43.6),55
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",51
AK,2020,"Opioids (T40.0-T40.4,T40.6)",69
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35
AK,2020,"Opioids (T40.0-T40.4,T40.6)",84
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38
AK,2020,Psychostimulants with abuse potential (T43.6),59
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65
AK,2020,"Opioids (T40.0-T40.4,T40.6)",92
AK,2020,Psychostimulants with abuse potential (T43.6),70
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44
AK,2020,Psychostimulants with abuse potential (T43.6),69
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76
AK,2020,"Opioids (T40.0-T40.4,T40.6)",86
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43
AK,2020,Psychostimulants with abuse potential (T43.6),75
AK,2020,"Opioids (T40.0-T40.4,T40.6)",93
AK,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47
AK,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81
AK,2021,Psychostimulants with abuse potential (T43.6),94
AK,2021,"Opioids (T40.0-T40.4,T40.6)",134
AK,2021,Other natural & semi-synthetic opioids,74
AK,2021,"Synthetic opioids, excl. methadone and rehabilitory compounds",151
AK,2021,Methadone (T40.3),11
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",117
AK,2021,Number of Deaths,"6,076"
AK,2022,Heroin ,64
AK,2021,Cocaine,21
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",58
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",149
AK,2021,Psychostimulants with abuse potential (T43.6),121
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",71
AK,2021,"Opioids (T40.0-T40.4,T40.6)",168
AK,2021,Methadone (T40.3),12
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",179
AK,2021,Number of Drug Overdose Deaths,255
AK,2021,"Opioids (T40.0-T40.4,T40.6)",198
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",81
AK,2021,Psychostimulants with abuse potential (T43.6),160
AK,2021,Methadone (T40.3),12
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",45
AK,2021,"Opioids (T40.0-T40.4,T40.6)",111
AK,2021,Psychostimulants with abuse potential (T43.6),70
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",97
AK,2021,"Opioids (T40.0-T40.4,T40.6)",108
AK,2021,Psychostimulants with abuse potential (T43.6),66
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",95
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43
AK,2021,"Opioids (T40.0-T40.4,T40.6)",159
AK,2021,Methadone (T40.3),13
AK,2021,Psychostimulants with abuse potential (T43.6),110
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",142
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",67
AK,2021,"Opioids (T40.0-T40.4,T40.6)",150
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",134
AK,2021,Psychostimulants with abuse potential (T43.6),105
AK,2021,Methadone (T40.3),12
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",62
AK,2021,"Opioids (T40.0-T40.4,T40.6)",127
AK,2021,Psychostimulants with abuse potential (T43.6),86
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",111
AK,2021,Methadone (T40.3),10
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55
AK,2021,Psychostimulants with abuse potential (T43.6),101
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",131
AK,2021,"Opioids (T40.0-T40.4,T40.6)",147
AK,2021,Methadone (T40.3),14
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",65
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",79
AK,2021,Methadone (T40.3),10
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",181
AK,2021,"Opioids (T40.0-T40.4,T40.6)",203
AK,2021,Psychostimulants with abuse potential (T43.6),153
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",172
AK,2021,Methadone (T40.3),11
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",78
AK,2021,Psychostimulants with abuse potential (T43.6),138
AK,2021,"Opioids (T40.0-T40.4,T40.6)",194
AK,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",159
AK,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",75
AK,2021,Methadone (T40.3),12
AL,2022,Heroin ,79
AK,2021,Psychostimulants with abuse potential (T43.6),124
AK,2021,"Opioids (T40.0-T40.4,T40.6)",179
AK,2022,"Synthetic opioids, excl. methadone and rehabilitory compounds",156
AK,2022,Psychostimulants with abuse potential (T43.6),162
AK,2022,"Opioids (T40.0-T40.4,T40.6)",194
AK,2022,Other natural & semi-synthetic opioids,75
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",178
AK,2022,Number of Deaths,"6,297"
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",73
AK,2022,Psychostimulants with abuse potential (T43.6),153
AK,2022,"Opioids (T40.0-T40.4,T40.6)",186
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",61
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",176
AK,2022,Cocaine,16
AK,2022,"Opioids (T40.0-T40.4,T40.6)",197
AK,2022,Psychostimulants with abuse potential (T43.6),164
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",179
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",80
AK,2022,Methadone (T40.3),11
AK,2022,"Opioids (T40.0-T40.4,T40.6)",193
AK,2022,Psychostimulants with abuse potential (T43.6),162
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",174
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",81
AK,2022,Methadone (T40.3),11
AK,2022,Psychostimulants with abuse potential (T43.6),159
AK,2022,"Opioids (T40.0-T40.4,T40.6)",184
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",173
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",65
AK,2022,Psychostimulants with abuse potential (T43.6),158
AK,2022,"Opioids (T40.0-T40.4,T40.6)",185
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",173
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",69
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",181
AK,2022,Number of Drug Overdose Deaths,257
AK,2022,"Opioids (T40.0-T40.4,T40.6)",198
AR,2021,Heroin ,11
AK,2022,Psychostimulants with abuse potential (T43.6),163
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",75
AK,2022,Psychostimulants with abuse potential (T43.6),158
AK,2022,"Opioids (T40.0-T40.4,T40.6)",180
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",63
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",166
AK,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54
AK,2022,"Opioids (T40.0-T40.4,T40.6)",169
AK,2022,Psychostimulants with abuse potential (T43.6),133
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",162
AK,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",165
